Author,Anand Sanwal
Title,"What's the most unsexy, ""boring"" business you've ever seen that makes a crap ton of money?  (riches in niches)"
Date,"7:15 AM · Jul 3, 2020·Twitter Web App"
Comment,261  Retweets and comments 1.4K  Likes
Conversations,
,"Vasudev Bailey, PhD @vasudevbailey · Jul 3","Replying to @asanwal
Disposing medical wastes.  Clean up of murder scenes. Import /export of random goods
4",
,Kirby Winfield @kirbywinfield · Jul 3,"Replying to @asanwal
mint farm selling to toothpaste manufacturers
3",
,Matthieu Marchand @matthieumrch · Jul 4,"Replying to @asanwal
Strategic consulting? 
4",https://abs-0.twimg.com/emoji/v2/svg/1f923.svg
,Bill Mann @TMFOtter · Jul 4,"Replying to @asanwal
Collar tabs.
3",
,John Pettitt @jpp123 · Jul 4,"Replying to @asanwal
Based on what my accountant charges - tax prep.
4",
,corey @sedatedclam · Jul 4,"Replying to @asanwal
YKK
3",
,Dylan @droinspired · Jul 4,"Replying to @asanwal
I know of a local millionaire who buys pallets, fixes them and then sells them again
4",
,Frank Thomas @Frank_ThomasIV · Jul 4,"Replying to @asanwal
Hazardous waste treatment and disposal
3",
,Zach Ware @zachware · Jul 4,"Replying to @asanwal
Employee perks/rewards program that brings in over $350M in rev and 32% net profit.
3",
,sc @sergchr · Jul 4,"Replying to @asanwal
 and @awilkinson
Enterprise planning software(ERP), market size is ~$90B. Overcomplicated and super expensive software. Companies pay a millions of dollars for the integration, and then a few millions for ERP consultants to teach employees how to use the software.
3",
,Gavrilo Bozovic @gavrilobozovic · Jul 4,"Replying to @asanwal
Autoform: simulation software for the cold forming of steel. Founded in 1995, sold in 2016 for 600m. The founder had 100% of the stock.
4",
,Mike Bestvina @mbesto · Jul 6,"Replying to @asanwal
Funeral homes and eye frame manufacturers (Luxottica) come to mind.
3",
,Marcus Smith @iamMarcusSmith · Jul 3,"Replying to @asanwal
Stationary wholesaler. Margins are insane, might as well just save themselves the hassle and print the money themselves.
2
5",
,Debbie Landa @deblanda · Jul 4,Ya Minted,
,Mohit Tater @MohitTater · Jul 3,"Replying to @asanwal
Buying multiple Toyotas and renting them out to drivers who cant afford a car, to drive for Uber.
1
2",
,Santiago Ariza M @SantiagoArizaM · Jul 3,"These days and for a good time u will be losing money :(
1",
,,This Tweet is from an account that no longer exists. Learn more,
,Rich @richardorwhat · Jul 4,What type of software do you mean and how these software different from the publicly available tech alternatives?,
,Short Vol @sukhoiConvexity · Jul 4,"Replying to @asanwal
 and @NickatFP
lifeguards in cali net 120k
1
5",
,David Goffin @davidgoffin · Jul 6,more,
,Tom Richardson @tmrchrdsn · Jul 4,"Replying to @asanwal
 and @awilkinson
CHEP (HQ Alpharetta GA) is a multi-billion dollar company that allows companies (e.g P&G) to turn shipping palettes from Capex to Opex by offering locations around the US to pick-up, borrow, and drop-off palettes after deliveries are made.
1
6",
,J Brew @RowdyBrew · Jul 20,Wonder what other opportunities are out there for converting Capex to Opex?,
,Commercial_Banker @Commerc44498613 · Jul 4,"Replying to @asanwal
Have a tortilla manufacturer as a client. Crazy profitable.
1
2",
,Beth Johnson @BJohnsonCville · Jul 4,"Oh yes
Why Grain-Free Tortilla Maker Siete Family Foods Just Raised $90 Million
Stripes Group invested $90 million for an undisclosed minority stake in Siete Family Foods.
forbes.com
1
1",https://pbs.twimg.com/card_img/1285197283949260801/_WcX0xV6?format=jpg&name=small
,Erik Israni @ErikIsrani · Jul 3,"Replying to @asanwal
Hauling and processesing waste grease from restaurants. Wild amount of money for something people are throwing away.
1
3",
,Amos @AShtibelman · Jul 3,"But there is a lot of competition there, no?",
,Christian Anderson @andersonbklyn · Jul 3,"Replying to @asanwal
Ball bearings
1",
,Piyush Patel @patelpk72 · Jul 3,"Its all ball bearings - fletch
3",
,John Colasante @realfoodjohn · Jul 5,"Replying to @asanwal
 and @awilkinson @readwiseio
 save thread
1
3",
,Readwise @readwiseio · Jul 5,Done! We've saved this whole thread to your Readwise library so that you can revisit/remember it ,https://abs-0.twimg.com/emoji/v2/svg/1f9e0.svg
,Vijay Venkatesh @vijayv · Jul 3,"Replying to @asanwal
Health insurance. Benefits.
2",
,Nate Reis @NateReis · Jul 3,"Replying to @asanwal
Waste management.
2",
,Jason William Gordon @JasonGordonSays · Jul 3,"Replying to @asanwal
Amphibious excavators (big cranes on pontoon boats). Only three companies in the world operate/maintain them.
2",
,Chris Gadek @dappermarketer · Jul 3,"Replying to @asanwal
Any software company creating solutions for file cabinet industries.
2",
,Malav Parekh @Malavtweets · Jul 3,"Replying to @asanwal
Undertaker services. The clients aren't exactly fun to talk to.
2",
,Timo Ilola @TimoIlola · Jul 3,"Replying to @asanwal
Storage rental
2",
,Khamzat @askhamzat · Jul 3,"Replying to @asanwal
Thats simple: Big4 accounting
2",
,Adam @AdamChudy · Jul 3,"Replying to @asanwal
everything @BrentBeshore
 owns over at @PermanentEquity
2",
,Kevin Sullivan @KevinSullivan36 · Jul 3,"Replying to @asanwal
self service car washes
2",
,Curiada @trycuriada · Jul 4,"Replying to @asanwal
Trash collection at a global scale.  First read about here: https://newyorker.com/magazine/2009/03/30/wastepaper-queen but she's been in the news recently, too.
Wastepaper Queen
Shes Chinas Horatio Alger hero. Will her fortune survive?
newyorker.com
2",https://pbs.twimg.com/card_img/1285253681705824258/0nDMfuB_?format=jpg&name=small
,Andrew Thomas-Woolf @afekz · Jul 4,"Replying to @asanwal
Tetra Pak. https://en.m.wikipedia.org/wiki/Tetra_Pak
2",
,Will Olson @billiamolson · Jul 4,"Replying to @asanwal
Metallic Spray paint for automobiles. Insanely profitable, niche market and dominated by a few players.
2",
,Benjamin Cox @BenjaminGCox · Jul 4,"Replying to @asanwal
 and @awilkinson
Not sure if its still big but knew a guy who started asbestos removal company.  Put on a hazmat suit and boom regular construction grunt can charge $300 an hour.
2",
,Lawrence Sanchez @yesx · Jul 4,"Replying to @asanwal
The company that makes springs for Zippo lighters
2",
,Beth Johnson @BJohnsonCville · Jul 4,"Replying to @asanwal
Pick-your-own farms (strawberries especially)
2",
,Lucas Howard @LucasClayHoward · Jul 4,"Replying to @asanwal
Foam earplugs.
2",
